Q,C
Synonym of CORPULENT,Verbal
Synonym of  BRIEF,Verbal
Synonym of EMBEZZLE,Verbal
Synonym of VENT,Verbal
Synonym of AUGUST,Verbal
Synonym of CANNY,Verbal
"Choose best active/passive voice of ""After driving professor Kumar to the museum she dropped him at his hotel. """,Verbal
"Choose best active/passive voice of ""I remember my sister taking me to the museum """,Verbal
"Choose best active/passive voice of "" Who is creating this mess?""",Verbal
"Choose best active/passive voice of "" Darjeeling grows tea.""",Verbal
"Choose best active/passive voice of "" They greet me cheerfully every morning.""",Verbal
"Choose best active/passive voice of "" They have built a perfect dam across the river.""",Verbal
"Complete statement ""Despite his best efforts to conceal his anger ...... """,Verbal
"Complete statement ""Even if it rains I shall come means ...... """,Verbal
"Complete statement ""His appearance is unsmiling but ...... """,Verbal
"Complete statement ""She never visits any zoo because she is strong opponent of the idea of ...... """,Verbal
"Complete statement "" I felt somewhat more relaxed ......""",Verbal
"Complete statement "" The food in this hotel is no match to what were forced at late hours in Hotel Kohinoor""",Verbal
"Choose alternate word/sentance ""Extreme old age when a man behaves like a fool """,Verbal
"Choose alternate word/sentance ""That which cannot be corrected """,Verbal
"Choose alternate word/sentance ""The study of ancient societies """,Verbal
"Choose alternate word/sentance ""A person of good understanding knowledge and reasoning power """,Verbal
"Choose alternate word/sentance "" A person who insists on something""",Verbal
"Choose alternate word/sentance "" State in which the few govern the many""",Verbal
"Select the pair which has the same relationship ""DIVA:OPERA """,Verbal
"Select the pair which has the same relationship ""GRAIN:SALT """,Verbal
"Select the pair which has the same relationship ""THRUST:SPEAR """,Verbal
"Select the pair which has the same relationship ""PAIN:SEDATIVE """,Verbal
"Select the pair which has the same relationship ""LIGHT:BLIND """,Verbal
"Select the pair which has the same relationship ""WAN:COLOUR """,Verbal
A train running at the speed of 60 km/hr crosses a pole in 9 seconds. What is the length of the train?,Aptitude
"A train 125 m long passes a man, running at 5 km/hr in the same direction in which the train is going, in 10 seconds. The speed of the train is:",Aptitude
"	
The length of the bridge, which a train 130 metres long and travelling at 45 km/hr can cross in 30 seconds, is:",Aptitude
Two trains running in opposite directions cross a man standing on the platform in 27 seconds and 17 seconds respectively and they cross each other in 23 seconds. The ratio of their speeds is:,Aptitude
"A train passes a station platform in 36 seconds and a man standing on the platform in 20 seconds. If the speed of the train is 54 km/hr, what is the length of the platform?",Aptitude
"	
A sum of money at simple interest amounts to Rs. 815 in 3 years and to Rs. 854 in 4 years. The sum is:",Aptitude
"Mr. Thomas invested an amount of Rs. 13,900 divided in two different schemes A and B at the simple interest rate of 14% p.a. and 11% p.a. respectively. If the total amount of simple interest earned in 2 years be Rs. 3508, what was the amount invested in Scheme B?",Aptitude
A sum fetched a total simple interest of Rs. 4016.25 at the rate of 9 p.c.p.a. in 5 years. What is the sum?,Aptitude
"	
How much time will it take for an amount of Rs. 450 to yield Rs. 81 as interest at 4.5% per annum of simple interest?",Aptitude
"Reena took a loan of Rs. 1200 with simple interest for as many years as the rate of interest. If she paid Rs. 432 as interest at the end of the loan period, what was the rate of interest?",Aptitude
"	
A sum of Rs. 12,500 amounts to Rs. 15,500 in 4 years at the rate of simple interest. What is the rate of interest?",Aptitude
"	
An automobile financier claims to be lending money at simple interest, but he includes the interest every six months for calculating the principal. If he is charging an interest of 10%, the effective rate of interest becomes:",Aptitude
"	
A lent Rs. 5000 to B for 2 years and Rs. 3000 to C for 4 years on simple interest at the same rate of interest and received Rs. 2200 in all from both of them as interest. The rate of interest per annum is:",Aptitude
